route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
17,11,3337,"RvLN TRENTON",1,"343RL294",1498
17,11,3338,"RvLN TRENTON",1,"343RL298",1498
17,11,3339,"RvLN TRENTON",1,"343RL300",1498
17,11,3340,"RvLN TRENTON",1,"343RL304",1498
17,11,3341,"RvLN TRENTON",1,"343RL306",1498
17,11,3342,"RvLN TRENTON",1,"343RL308",1498
17,11,3343,"RvLN TRENTON",1,"343RL310",1498
17,11,3344,"RvLN TRENTON",1,"343RL312",1498
17,11,3345,"RvLN TRENTON",1,"343RL316",1498
17,11,3346,"RvLN TRENTON",1,"343RL320",1498
17,11,3347,"RvLN TRENTON",1,"343RL324",1498
17,11,3348,"RvLN TRENTON",1,"343RL328",1498
17,11,3349,"RvLN TRENTON",1,"343RL206",1499
17,11,3350,"RvLN PENNSAUKEN RT 73 STATION",1,"343RL976",1500
17,11,3351,"RvLN TRENTON",1,"343RL204",1501
17,11,3352,"RvLN TRENTON",1,"343RL202",1502
