shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
KHATIB_TO_MANDAI,1.40737,103.7839,353
KHATIB_TO_MANDAI,1.40734,103.78402,354
KHATIB_TO_MANDAI,1.4073,103.78416,355
KHATIB_TO_MANDAI,1.40724,103.78439,356
KHATIB_TO_MANDAI,1.4072,103.78447,357
KHATIB_TO_MANDAI,1.40716,103.78454,358
KHATIB_TO_MANDAI,1.4071,103.78462,359
KHATIB_TO_MANDAI,1.40705,103.78468,360
KHATIB_TO_MANDAI,1.40702,103.7847,361
KHATIB_TO_MANDAI,1.40696,103.78476,362
KHATIB_TO_MANDAI,1.40692,103.7848,363
KHATIB_TO_MANDAI,1.40687,103.78485,364
KHATIB_TO_MANDAI,1.40679,103.78492,365
KHATIB_TO_MANDAI,1.40678,103.78493,366
KHATIB_TO_MANDAI,1.40666,103.785,367
KHATIB_TO_MANDAI,1.40663,103.78502,368
KHATIB_TO_MANDAI,1.40649,103.78513,369
KHATIB_TO_MANDAI,1.40648,103.78514,370
KHATIB_TO_MANDAI,1.40625,103.7853,371
KHATIB_TO_MANDAI,1.40602,103.78549,372
KHATIB_TO_MANDAI,1.40578,103.7857,373
KHATIB_TO_MANDAI,1.40564,103.78582,374
KHATIB_TO_MANDAI,1.40534,103.78603,375
KHATIB_TO_MANDAI,1.40522,103.78613,376
KHATIB_TO_MANDAI,1.40508,103.78625,377
KHATIB_TO_MANDAI,1.40495,103.78634,378
KHATIB_TO_MANDAI,1.40481,103.78647,379
KHATIB_TO_MANDAI,1.40479,103.7865,380
KHATIB_TO_MANDAI,1.40473,103.78655,381
KHATIB_TO_MANDAI,1.40468,103.78661,382
KHATIB_TO_MANDAI,1.40467,103.78663,383
KHATIB_TO_MANDAI,1.40463,103.78669,384
KHATIB_TO_MANDAI,1.40459,103.78674,385
KHATIB_TO_MANDAI,1.40455,103.78679,386
KHATIB_TO_MANDAI,1.40451,103.78685,387
KHATIB_TO_MANDAI,1.40448,103.7869,388
KHATIB_TO_MANDAI,1.40443,103.78702,389
KHATIB_TO_MANDAI,1.40441,103.7871,390
KHATIB_TO_MANDAI,1.40437,103.78716,391
KHATIB_TO_MANDAI,1.40436,103.7872,392
KHATIB_TO_MANDAI,1.40434,103.78724,393
KHATIB_TO_MANDAI,1.40433,103.78728,394
KHATIB_TO_MANDAI,1.40431,103.78733,395
KHATIB_TO_MANDAI,1.4043,103.78738,396
KHATIB_TO_MANDAI,1.40429,103.78738,397
KHATIB_TO_MANDAI,1.40428,103.78743,398
KHATIB_TO_MANDAI,1.40427,103.78747,399
KHATIB_TO_MANDAI,1.40426,103.78752,400
KHATIB_TO_MANDAI,1.40426,103.78757,401
KHATIB_TO_MANDAI,1.40425,103.78763,402
KHATIB_TO_MANDAI,1.40427,103.78787,403
KHATIB_TO_MANDAI,1.40429,103.78795,404
KHATIB_TO_MANDAI,1.40433,103.78809,405
KHATIB_TO_MANDAI,1.4043343,103.7881003,406
KHATIB_TO_MANDAI,1.4047043,103.7888727,407
KHATIB_TO_MANDAI,1.4046426,103.7891061,408
KHATIB_TO_MANDAI,1.404766,103.7895379,409
KHATIB_TO_MANDAI,1.4049135,103.7895862,410
KHATIB_TO_MANDAI,1.4050878,103.789314,411
KHATIB_TO_MANDAI,1.40509884785064,103.789314160497,412
KHATIB_TO_MANDAI,1.405128,103.789333,413
MANDAI_TO_KHATIB,1.405128,103.789333,0
MANDAI_TO_KHATIB,1.40509884785064,103.789314160497,1
MANDAI_TO_KHATIB,1.4050878,103.789314,2
MANDAI_TO_KHATIB,1.4049135,103.7895862,3
MANDAI_TO_KHATIB,1.404766,103.7895379,4
MANDAI_TO_KHATIB,1.4046426,103.7891061,5
MANDAI_TO_KHATIB,1.4047043,103.7888727,6
MANDAI_TO_KHATIB,1.4043343,103.7881003,7
MANDAI_TO_KHATIB,1.40433,103.78809,8
MANDAI_TO_KHATIB,1.40429,103.78795,9
MANDAI_TO_KHATIB,1.40427,103.78787,10
MANDAI_TO_KHATIB,1.40425,103.78763,11
MANDAI_TO_KHATIB,1.40426,103.78757,12
MANDAI_TO_KHATIB,1.40426,103.78752,13
MANDAI_TO_KHATIB,1.40427,103.78747,14
MANDAI_TO_KHATIB,1.40428,103.78743,15
MANDAI_TO_KHATIB,1.40429,103.78738,16
MANDAI_TO_KHATIB,1.4043,103.78738,17
MANDAI_TO_KHATIB,1.40431,103.78733,18
MANDAI_TO_KHATIB,1.40433,103.78728,19
MANDAI_TO_KHATIB,1.40434,103.78724,20
MANDAI_TO_KHATIB,1.40436,103.7872,21
MANDAI_TO_KHATIB,1.40437,103.78716,22
MANDAI_TO_KHATIB,1.40441,103.7871,23
